Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2022,11,Austrian Grand Prix,RIC,McLaren,12.0,16.0,0.0,Finished,23.0,1,12.0,70.50609090909091,,0.0,27,10,2,6.666666666666667,7.333333333333333,13.2,775.0
2022,11,Austrian Grand Prix,STR,Aston Martin,13.0,17.0,0.0,Finished,23.0,1,13.0,70.86018181818183,,0.0,31,4,2,13.0,14.0,15.6,266.0
2022,11,Austrian Grand Prix,ZHO,Alfa Romeo,14.0,18.0,0.0,Finished,23.0,1,14.0,70.78954545454546,,0.0,35,0,2,20.0,12.333333333333334,12.8,53.0
2022,11,Austrian Grand Prix,GAS,AlphaTauri,15.0,10.0,0.0,Finished,23.0,1,15.0,70.86977272727273,,0.0,9,2,2,15.0,14.666666666666666,13.6,142.0
2022,11,Austrian Grand Prix,ALB,Williams,16.0,11.0,0.0,Finished,23.0,1,16.0,70.91186363636362,,0.0,0,15,2,18.0,18.0,13.2,124.0
2022,11,Austrian Grand Prix,TSU,AlphaTauri,17.0,14.0,0.0,Finished,23.0,1,17.0,71.12159090909091,,0.0,32,2,2,14.333333333333334,14.666666666666666,12.8,142.0
2022,11,Austrian Grand Prix,LAT,Williams,18.0,19.0,0.0,Finished,23.0,1,18.0,71.75186363636362,,0.0,15,15,2,16.333333333333332,17.666666666666668,15.8,124.0
2022,11,Austrian Grand Prix,VET,Aston Martin,19.0,20.0,0.0,Collision damage,21.0,0,19.0,71.59499999999998,,0.0,34,4,2,11.666666666666666,13.666666666666666,9.8,266.0
2022,11,Austrian Grand Prix,ALO,Alpine,20.0,8.0,0.0,Electrical,0.0,0,20.0,70.48509090909091,66.103,0.0,1,3,2,10.666666666666666,10.333333333333334,11.2,170.0
2022,21,São Paulo Grand Prix,RUS,Mercedes,1.0,3.0,8.0,Finished,24.0,1,1.0,75.32160869565219,72.059,-0.0125076408002756,28,11,26,10.666666666666666,8.666666666666666,3.6,604.5
2022,21,São Paulo Grand Prix,SAI,Ferrari,2.0,5.0,7.0,Finished,24.0,1,2.0,75.43430434782609,72.357,-0.0151547919692885,29,7,26,3.3333333333333335,3.0,9.8,595.0
2022,21,São Paulo Grand Prix,HAM,Mercedes,3.0,8.0,6.0,Finished,24.0,1,3.0,75.39173913043479,72.611,-0.019220881483969,12,11,26,9.0,4.333333333333333,10.0,604.5
